"","Area","Classification","Fiscal.Year","Customer","Amount"
"6863","Services","Effective Competition","2006","Air Force",131467144.4
"6864","Services","Effective Competition","2006","Air Force",1260269
"6865","Services","No competition","2006","Air Force",466889
"6866","Services","Effective Competition","2006","Air Force",38217
"6867","Services","No competition","2006","Air Force",430283
"6868","Services","No competition","2006","Air Force",202003
"6869","Services","Competition with single offer","2006","Air Force",1731655227
"6870","Services","Effective Competition","2006","Air Force",11723446
"6871","Services","Effective Competition","2002","Navy",14097051
"6872","Services","Effective Competition","2002","Navy",69232
"6873","Services","Effective Competition","2002","Navy",209183747
"6874","Services","Effective Competition","2002","Navy",11149717
"6875","Services","No competition","2002","Navy",31033726
"6876","Services","Unlabeled","2002","Navy",20161
"6877","Services","Effective Competition","2002","Navy",27296862.34
"6878","Services","Effective Competition","2002","Navy",14480881
"6879","Services","Effective Competition","2002","Navy",2060826
"6880","Services","Unlabeled","2002","Navy",2447028.84
"6881","Services","Competition with single offer","2002","Navy",14313208
"6882","Services","Effective Competition","2002","Navy",66161982
"6883","Services","Effective Competition","2002","Navy",276537813
"6884","Services","Effective Competition","2002","Navy",58053098
"6885","Services","Effective Competition","2002","Navy",19687834
"6886","Services","Unlabeled","2002","Navy",160970488
"6887","R&D","Effective Competition","2002","Navy",10719572
"6888","R&D","Effective Competition","2002","Navy",94967292
"6889","R&D","Effective Competition","2002","Navy",1692561
"6890","R&D","Unlabeled","2002","Navy",43546834
"6891",NA,"Competition with single offer","2002","Other DoD",40295.31
"6892","Services","No competition","2002","Other DoD",314090979
"6893","Services","Unlabeled","2002","Other DoD",4984845
"6894","Services","Effective Competition","2002","Other DoD",4258802
"6895","Services","Effective Competition","2002","Other DoD",9522424
"6896","Services","Effective Competition","2002","Other DoD",61528667
"6897","Services","No competition","2002","Other DoD",184816197
"6898","Services","Competition with single offer","2002","Other DoD",54854834
"6899","Services","Effective Competition","2002","Other DoD",57420642.35
"6900","Services","Effective Competition","2002","Other DoD",2673619
"6901","Services","Effective Competition","2002","Other DoD",59982935
"6902","Services","No competition","2002","Other DoD",106402272
"6903","Products","No competition","2002","Other DoD",163712
"6904","Products","Unlabeled","2002","Other DoD",106434
"6905","R&D","Competition with single offer","2002","Other DoD",125877999
"6906","R&D","Effective Competition","2002","Other DoD",51731320
"6907","R&D","No competition","2002","Other DoD",33120625
"6908","Services","Effective Competition","2003","Air Force",100194273
"6909","Services","No competition","2003","Air Force",33101095
"6910","Services","Unlabeled","2003","Air Force",424017
"6911","Services","Competition with single offer","2003","Air Force",248121656
"6912","Services","Effective Competition","2003","Air Force",1098751484
"6913","Services","Effective Competition","2003","Air Force",8984114
"6914","Services","No competition","2003","Air Force",774647
"6915","Services","No competition","2003","Air Force",916023136.4
"6916","Services","No competition","2003","Air Force",28000
"6917","Services","Effective Competition","2003","Air Force",19120404
"6918","Services","Effective Competition","2003","Air Force",772450
"6919","Services","Unlabeled","2003","Air Force",-29163
"6920","Services","Competition with single offer","2003","Air Force",71720834
"6921","Services","Competition with single offer","2004","Other DoD",314530
"6922","Services","Effective Competition","2004","Other DoD",81954
"6923","Services","Effective Competition","2004","Other DoD",28158034.28
"6924","Services","No competition","2004","Other DoD",178861971
"6925","Services","No competition","2004","Other DoD",1308090
"6926","Products","Effective Competition","2004","Other DoD",42711952.47
"6927","Products","Effective Competition","2004","Other DoD",4007023.84
"6928","Products","Effective Competition","2004","Other DoD",7408736.88
"6929","Products","No competition","2004","Other DoD",449647539.4
"6930","Products","No competition","2004","Other DoD",2575530.74
"6931","R&D","Effective Competition","2004","Other DoD",10917654
"6932","R&D","Effective Competition","2004","Other DoD",94113014
"6933","Services","Competition with single offer","2005","Air Force",32406531
"6934","Services","Effective Competition","2005","Air Force",336533233
"6935","Services","Effective Competition","2005","Air Force",226338893
"6936","Services","Effective Competition","2005","Air Force",8576781
"6937","Services","No competition","2005","Air Force",462889098.2
"6938","Services","No competition","2005","Air Force",27745653.96
"6939","Services","Effective Competition","2005","Air Force",145455458
"6940","Services","Effective Competition","2005","Air Force",335993226.5
"6941","Services","No competition","2005","Air Force",1610233
"6942","Services","Effective Competition","2005","Air Force",2988448
"6943","Services","Effective Competition","2005","Air Force",393640520.8
"6944","Services","Effective Competition","2005","Air Force",15428113
"6945","Services","Unlabeled","2005","Air Force",83093
"6946","Services","Unlabeled","2005","Air Force",342922140
"6947","Products","Competition with single offer","2005","Air Force",867745001.6
"6948","Products","Effective Competition","2005","Air Force",1783025971
"6949","Products","Effective Competition","2005","Air Force",7041354
"6950","Products","Effective Competition","2005","Air Force",11769331
"6951","Products","Unlabeled","2005","Air Force",103201
"6952","Products","Unlabeled","2005","Air Force",21978338
"6953","R&D","Effective Competition","2005","Air Force",198588659
"6954","R&D","Effective Competition","2005","Air Force",2012029
"6955","R&D","Effective Competition","2005","Air Force",3353476
"6956","R&D","No competition","2005","Air Force",2223936032
"6957","R&D","No competition","2005","Air Force",17133437
"6958",NA,"No competition","2005","Army",610982
"6959","Services","Effective Competition","2005","Army",2289231
"6960","Services","No competition","2005","Army",147509127.5
"6961","Services","Effective Competition","2005","Army",12548550
"6962","Services","Effective Competition","2005","Army",330413221
"6963","Services","Effective Competition","2005","Army",64349916
"6964","Services","Effective Competition","2005","Army",64748113
"6965","Services","Effective Competition","2005","Army",3141211
"6966","Services","No competition","2005","Army",-12568
"6967","Services","Effective Competition","2005","Army",3203077
"6968","Services","Effective Competition","2005","Army",26091385
"6969","Services","No competition","2005","Army",1002237
"6970","Services","Unlabeled","2004","Navy",21271470
"6971","Services","Effective Competition","2004","Navy",55684765
"6972","Services","Effective Competition","2004","Navy",345908
"6973","Services","Effective Competition","2004","Navy",12554300
"6974","Services","No competition","2004","Navy",272667052.1
"6975","Services","No competition","2004","Navy",2868505
"6976","Services","Effective Competition","2004","Navy",2197541
"6977","Services","Effective Competition","2004","Navy",13175876
"6978","Services","Effective Competition","2004","Navy",1364875
"6979","Services","No competition","2004","Navy",2574296.64
"6980","Services","Unlabeled","2004","Navy",45836617
"6981","Services","Effective Competition","2004","Navy",425105923.7
"6982","Services","Effective Competition","2004","Navy",350526921.4
"6983","Services","No competition","2004","Navy",1330438682
"6984","Services","No competition","2004","Navy",696141204.9
"6985","Services","No competition","2004","Navy",261000
"6986","Products","Effective Competition","2004","Navy",425217
"6987","Products","Effective Competition","2004","Navy",263743765.9
"6988","Products","Effective Competition","2004","Navy",7437668.56
"6989","Products","No competition","2004","Navy",728923901
"6990","Products","Unlabeled","2004","Navy",18436
"6991","R&D","No competition","2004","Navy",939809488
"6992",NA,"No competition","2004","Other DoD",563909.31
"6993","Services","Effective Competition","2004","Other DoD",304731812
"6994","Services","Effective Competition","2004","Other DoD",455724
"6995","Services","No competition","2004","Other DoD",107583532
"6996","Services","No competition","2004","Other DoD",120372867
"6997","Services","Unlabeled","2004","Other DoD",464741
"6998","Services","Competition with single offer","2004","Other DoD",121264
"6999","Services","Effective Competition","2004","Other DoD",12144743.8
"7000","Services","Unlabeled","2004","Other DoD",28859
"7001","Services","Unlabeled","2004","Other DoD",310284764.8
"7002","Services","No competition","2004","Other DoD",259563
"7003","Services","Effective Competition","2004","Other DoD",541246
"7004","Services","Effective Competition","2004","Other DoD",1089624
"7005","Services","Effective Competition","2004","Other DoD",161327849.3
"7006","Services","Effective Competition","2004","Other DoD",64414594.15
"7007","Products","Competition with single offer","2004","Other DoD",235725585.2
"7008","Products","Effective Competition","2004","Other DoD",635387.53
"7009","Products","No competition","2004","Other DoD",186313452.1
"7010","Products","No competition","2004","Other DoD",3254136
"7011","R&D","Effective Competition","2004","Other DoD",5022524
"7012","R&D","Effective Competition","2004","Other DoD",54561304.84
"7013","R&D","Effective Competition","2004","Other DoD",54610603
"7014","R&D","Unlabeled","2004","Other DoD",6172188
"7015","Services","Effective Competition","2005","Air Force",2527464
"7016","Services","Effective Competition","2005","Air Force",15000
"7017","Services","Effective Competition","2005","Air Force",-3103071
"7018","Services","Effective Competition","2005","Air Force",421040141.9
"7019","Services","Effective Competition","2005","Air Force",283105878
"7020","Products","No competition","2004","Army",822442448.2
"7021","Products","Unlabeled","2004","Army",36877275
"7022","R&D","Effective Competition","2004","Army",112446620
"7023","R&D","Effective Competition","2004","Army",463489469.2
"7024","R&D","Effective Competition","2004","Army",5117160
"7025","R&D","No competition","2004","Army",1241988
"7026","Services","Effective Competition","2004","DLA",217801
"7027","Services","Effective Competition","2004","DLA",325007
"7028","Services","No competition","2004","DLA",600816
"7029","Services","Effective Competition","2004","DLA",5030085
"7030","Services","No competition","2004","DLA",12066296
"7031","Services","Competition with single offer","2004","DLA",1004150.28
"7032","Services","Effective Competition","2004","DLA",50725
"7033","Services","Effective Competition","2004","DLA",2416002
"7034","Services","Effective Competition","2004","DLA",2500835
"7035","Services","Effective Competition","2004","DLA",67000
"7036","Products","Effective Competition","2004","DLA",311661016.7
"7037","Products","Effective Competition","2004","DLA",3368139748
"7038","Products","Effective Competition","2004","DLA",493934251
"7039","Products","No competition","2004","DLA",96906340
"7040","Products","Unlabeled","2004","DLA",143630601
"7041","Services","Competition with single offer","2004","MDA",392361.88
"7042","Services","Effective Competition","2004","MDA",706193
"7043","Services","No competition","2004","MDA",4280283
"7044","Products","No competition","2004","MDA",111705
"7045","R&D","Effective Competition","2004","MDA",12136117
"7046","Services","Effective Competition","2004","MilitaryHealth",-2175
"7047","Products","Competition with single offer","2004","MilitaryHealth",102879
"7048","Products","Effective Competition","2004","MilitaryHealth",88023
"7049","Services","Competition with single offer","2004","Navy",510943010.2
"7050","Services","Effective Competition","2004","Navy",4140
"7051","Services","Effective Competition","2004","Navy",961342363
"7052","Services","Effective Competition","2004","Navy",19810691
"7053","Services","Effective Competition","2004","Navy",143491469
"7054","Services","No competition","2004","Navy",1733487955
"7055","Services","No competition","2004","Navy",3003577
"7056","Services","Effective Competition","2004","Navy",7119281
"7057","Services","Effective Competition","2004","Navy",132931239
"7058","Services","No competition","2004","Navy",4009675
"7059","Services","No competition","2004","Navy",4506550
"7060","Services","Unlabeled","2004","Navy",-152173
"7061","Services","Effective Competition","2004","Navy",20215804
"7062","Services","Unlabeled","2004","Navy",363192732
"7063","Services","Unlabeled","2004","Navy",1930234
"7064","Services","Unlabeled","2004","Navy",219389
"7065","Products","Competition with single offer","2004","Navy",1790305687
"7066","Products","Effective Competition","2004","Navy",29805076
"7067","Products","Effective Competition","2004","Navy",21801918
"7068","Products","Effective Competition","2004","Navy",77624307.7
"7069","Products","Effective Competition","2004","Navy",750739
"7070","Products","No competition","2004","Navy",16333192791
"7071","Products","No competition","2004","Navy",8812941
"7072","Services","Unlabeled","2003","Air Force",917432
"7073","Products","Effective Competition","2003","Air Force",3132460593
"7074","Products","Effective Competition","2003","Air Force",61621412
"7075","Products","Unlabeled","2003","Air Force",10295621.88
"7076","R&D","Competition with single offer","2003","Air Force",15859177
"7077","R&D","No competition","2003","Air Force",5647942
"7078",NA,"Effective Competition","2003","Army",0.34
"7079","Services","Effective Competition","2003","Army",76440475
"7080","Services","Effective Competition","2003","Army",76478544
"7081","Services","No competition","2003","Army",81659421
"7082","Services","No competition","2003","Army",3496145575
"7083","Services","Competition with single offer","2003","Army",17258187
"7084","Services","Effective Competition","2003","Army",3256567
"7085","Services","Effective Competition","2003","Army",24867672.59
"7086","Services","Effective Competition","2003","Army",140603883
"7087","Services","No competition","2003","Army",352860
"7088","Services","Effective Competition","2003","Army",136548000
"7089","Services","Effective Competition","2003","Army",113804856
"7090","Products","Effective Competition","2003","Army",3415311
"7091","Products","Effective Competition","2003","Army",1799708414
"7092","Products","Effective Competition","2003","Army",369068
"7093","Products","Effective Competition","2003","Army",427624708.3
"7094","Products","No competition","2003","Army",1119573532
"7095","R&D","Effective Competition","2003","Army",55268033
"7096","R&D","Effective Competition","2003","Army",370517196
"7097","R&D","Effective Competition","2003","Army",3740461
"7098","R&D","No competition","2003","Army",2420109
"7099","Services","Effective Competition","2003","DLA",251087
"7100","Services","Effective Competition","2003","DLA",843347
"7101","Services","No competition","2003","DLA",990176
"7102","Services","No competition","2003","DLA",53910711
"7103","Services","Competition with single offer","2003","DLA",64400
"7104","Services","Effective Competition","2003","DLA",60033
"7105","Services","Effective Competition","2003","DLA",4813188
"7106","Services","Effective Competition","2003","DLA",484147
"7107","Services","Effective Competition","2003","DLA",100979
"7108","Products","Effective Competition","2003","DLA",53082308
"7109","Products","Effective Competition","2003","DLA",2181208042
"7110","Products","Effective Competition","2003","DLA",42774
"7111","Products","Effective Competition","2003","DLA",665826823
"7112","Products","No competition","2003","DLA",213753042
"7113","Services","Effective Competition","2003","MDA",4e+05
"7114","Services","No competition","2003","MDA",2120638
"7115","Products","No competition","2003","MDA",15339
"7116","R&D","Effective Competition","2003","MDA",7184884
"7117",NA,"Unlabeled","2003","MilitaryHealth",0
"7118","Services","Effective Competition","2003","MilitaryHealth",2707159459
"7119",NA,"Unlabeled","2003","Navy",82594
"7120","Services","Competition with single offer","2003","Navy",1019666337
"7121","Services","Effective Competition","2003","Navy",7947519
"7122","Services","Effective Competition","2003","Navy",1323251129
"7123","Services","Effective Competition","2003","Navy",47662195
"7124","Services","Effective Competition","2003","Navy",3687325
"7125","Services","No competition","2003","Navy",199969
"7126","Services","Effective Competition","2003","Navy",7885989
"7127","Services","Effective Competition","2003","Navy",141634409.5
"7128","Services","No competition","2003","Navy",4261652
"7129","Services","No competition","2003","Navy",3103565
"7130","Services","Effective Competition","2003","Navy",33693995
"7131","Services","Effective Competition","2003","Navy",8863428
"7132","Services","Unlabeled","2003","Navy",399167487.8
"7133","Services","Unlabeled","2003","Navy",385257
"7134","Services","Unlabeled","2003","Navy",177779
"7135","Products","Competition with single offer","2003","Navy",1597646432
"7136","Products","Effective Competition","2003","Navy",798530172
"7137","Products","Effective Competition","2003","Navy",49126638
"7138","Products","Effective Competition","2003","Navy",57013659
"7139","Products","No competition","2003","Navy",12739819683
"7140","Products","No competition","2003","Navy",10495483
"7141","R&D","Effective Competition","2003","Navy",4070616
"7142","R&D","No competition","2003","Navy",127645803
"7143","R&D","Unlabeled","2003","Navy",129591
"7144","Services","Effective Competition","2003","Other DoD",184500
"7145","Services","Effective Competition","2003","Other DoD",577218
"7146","Services","Effective Competition","2003","Other DoD",16184
"7147","Services","Effective Competition","2003","Other DoD",52037818
"7148","Services","No competition","2003","Other DoD",367270
"7149","Services","No competition","2003","Other DoD",136810022
"7150","Products","Effective Competition","2003","Other DoD",38744928.05
"7151","Products","Unlabeled","2003","Other DoD",379380914.8
"7152","R&D","No competition","2003","Other DoD",160378064
"7153","Services","Effective Competition","2004","Air Force",2568601
"7154","Services","Unlabeled","2004","Air Force",1653520.52
"7155","Services","Effective Competition","2004","Air Force",7442099
"7156","Services","No competition","2004","Air Force",192045742
"7157","Services","Effective Competition","2004","Air Force",182071762
"7158","Services","Unlabeled","2004","Air Force",12130193
"7159","Services","Effective Competition","2004","Air Force",3886994
"7160","Services","Effective Competition","2004","Air Force",1138792
"7161","Services","No competition","2004","Air Force",3826267
"7162","Services","Unlabeled","2004","Air Force",1014969
"7163","Services","Effective Competition","2004","Air Force",26580486
"7164","Services","Effective Competition","2004","Air Force",521545547.5
"7165","Services","Effective Competition","2004","Air Force",79864535
"7166","Services","No competition","2004","Air Force",50281490
"7167","Products","Effective Competition","2004","Air Force",3030924
"7168","Products","Effective Competition","2004","Air Force",712784
"7169","Products","No competition","2004","Air Force",2133056224
"7170","Products","Unlabeled","2004","Air Force",1022275871
"7171","R&D","Effective Competition","2004","Air Force",26812211
"7172","R&D","Effective Competition","2004","Air Force",909554165.3
"7173","R&D","Effective Competition","2004","Air Force",7333289
"7174","R&D","Effective Competition","2004","Navy",1752202
"7175","R&D","No competition","2004","Navy",92215556
"7176",NA,"Effective Competition","2004","Other DoD",31810.5
"7177","Services","Effective Competition","2004","Other DoD",27500
"7178","Services","Effective Competition","2004","Other DoD",2188822
"7179","Services","Competition with single offer","2004","Other DoD",188899203.1
"7180","Services","No competition","2004","Other DoD",238031.68
"7181","Products","Effective Competition","2004","Other DoD",323273
"7182","Products","Effective Competition","2004","Other DoD",40829894.29
"7183","Products","Effective Competition","2004","Other DoD",30748052
"7184","Products","No competition","2004","Other DoD",268745643
"7185","Products","Unlabeled","2004","Other DoD",309365309.1
"7186","Services","No competition","2005","Air Force",151807887
"7187","Services","Unlabeled","2005","Air Force",9742413
"7188","Services","Effective Competition","2005","Air Force",219642904
"7189","Services","Effective Competition","2005","Air Force",106222945
"7190","Services","Effective Competition","2005","Air Force",274797416
"7191","Services","Unlabeled","2005","Air Force",15322409
"7192","Services","Effective Competition","2005","Air Force",10897166.39
"7193","Services","Effective Competition","2005","Air Force",7801667
"7194","Services","No competition","2005","Air Force",4435739
"7195","Services","Effective Competition","2005","Air Force",45179515
"7196","Services","Effective Competition","2005","Air Force",355809099
"7197","Services","No competition","2005","Air Force",77132908.2
"7198","Products","Effective Competition","2005","Air Force",94079
"7199","Products","Effective Competition","2005","Air Force",1276453016
"7200","Products","Effective Competition","2005","Air Force",3925
"7201","Products","No competition","2005","Air Force",1805053344
"7202","Products","Unlabeled","2005","Air Force",9362981.52
"7203","R&D","Effective Competition","2005","Air Force",31206574
"7204","R&D","Effective Competition","2005","Air Force",568512032
"7205",NA,"Effective Competition","2005","Army",68864
"7206","Services","Effective Competition","2005","Army",280589558
"7207","Services","Effective Competition","2005","Army",303211
"7208","Services","Unlabeled","2005","Army",1133561381
"7209","Services","Competition with single offer","2005","Army",1678565881
"7210","Services","Effective Competition","2005","Army",628807264
"7211","Services","Effective Competition","2005","Army",748663543.4
"7212","Services","No competition","2005","Army",680935784
"7213","Services","No competition","2005","Army",1053403
"7214","Services","Effective Competition","2005","Army",206463
"7215","Services","Effective Competition","2005","Army",15485673
"7216","Services","Effective Competition","2005","Army",64357536
"7217","Services","No competition","2005","Army",5149963
"7218","Services","No competition","2005","Army",11457267
"7219","Services","Unlabeled","2005","Army",40444
"7220","Services","Effective Competition","2005","Army",13578955.56
"7221","Services","No competition","2005","Army",64319909.81
"7222","Services","Effective Competition","2005","Army",151866165
"7223","Services","Effective Competition","2005","Army",475005324.9
"7224","Services","Effective Competition","2005","Army",1123944
"7225","Services","Effective Competition","2005","Army",13573391
"7226","Services","Effective Competition","2005","Army",102089957
"7227","Services","No competition","2005","Army",1250302624
"7228","Services","Unlabeled","2005","Army",0
"7229","Products","Effective Competition","2005","Army",39382645.2
"7230","Products","Unlabeled","2005","Army",113434799.9
"7231","R&D","Competition with single offer","2005","Army",867029
"7232","R&D","Effective Competition","2005","Army",75792341
"7233","R&D","Effective Competition","2005","Army",2115234
"7234","R&D","Effective Competition","2005","Army",2192421
"7235","Services","Effective Competition","2005","DLA",12689922
"7236","Services","Unlabeled","2005","DLA",75014
"7237","Services","Effective Competition","2005","DLA",2878568
"7238","Services","No competition","2005","DLA",9109486.48
"7239","Services","Effective Competition","2005","DLA",13381301.75
"7240","Services","No competition","2005","DLA",1584439
"7241","Services","Effective Competition","2005","DLA",1326743
"7242","Services","Effective Competition","2005","DLA",101055
"7243","Services","Effective Competition","2005","DLA",7589
"7244","Services","Effective Competition","2005","DLA",9385952.48
"7245","Services","Effective Competition","2005","DLA",459126
"7246","Services","Unlabeled","2005","DLA",19765
"7247","Products","Effective Competition","2005","DLA",26152590.08
"7248","Products","Unlabeled","2005","DLA",10490713.69
"7249","R&D","Effective Competition","2005","DLA",0
"7250","Services","No competition","2005","MDA",2438930
"7251","Services","No competition","2005","MDA",133575
"7252","Services","Competition with single offer","2005","MDA",256550
"7253","Products","No competition","2005","MDA",233942
"7254","Products","Unlabeled","2005","MDA",-442
"7255","Services","No competition","2005","MilitaryHealth",2966
"7256","Services","Effective Competition","2005","MilitaryHealth",2188906702
"7257","Services","No competition","2005","MilitaryHealth",3e+06
"7258",NA,"Competition with single offer","2005","Navy",-14042
"7259",NA,"No competition","2005","Navy",0
"7260","Services","Effective Competition","2005","Navy",2991286
"7261","Services","No competition","2005","Navy",558375935.8
"7262","Services","Effective Competition","2005","Navy",336084929
"7263","Services","Effective Competition","2005","Navy",3609230
"7264","Services","Effective Competition","2005","Navy",43121393
"7265","Services","Effective Competition","2005","Navy",55277243
"7266","Services","Competition with single offer","2005","Navy",55941726.28
"7267","Services","Effective Competition","2005","Navy",31938233
"7268","Services","Effective Competition","2005","Navy",47759616.46
"7269","Services","Effective Competition","2005","Navy",15278300.42
"7270","Services","Effective Competition","2005","Navy",-7630
"7271","Services","Effective Competition","2005","Navy",7689867
"7272","Services","Effective Competition","2005","Navy",434159526.6
"7273","Services","Effective Competition","2005","Navy",19426038.25
"7274","Services","No competition","2005","Navy",150936892.5
"7275","Services","Unlabeled","2005","Navy",189920597.7
"7276","Products","Effective Competition","2005","Navy",4123075
"7277","Products","Effective Competition","2005","Navy",881645
"7278","Products","No competition","2005","Navy",10260204
"7279","R&D","Effective Competition","2005","Navy",112645939
"7280","R&D","Effective Competition","2005","Navy",608901
"7281","R&D","Unlabeled","2005","Navy",1209685
"7282","Services","Effective Competition","2005","Other DoD",11909807
"7283","Services","Unlabeled","2005","Other DoD",41186
"7284","Services","Competition with single offer","2005","Other DoD",37286236.14
"7285","Services","Effective Competition","2005","Other DoD",551905
"7286","Services","Effective Competition","2005","Other DoD",228529496.4
"7287","Services","No competition","2005","Other DoD",-50381783.8
"7288","Services","Effective Competition","2005","Other DoD",132330609.6
"7289","Services","Effective Competition","2005","Other DoD",143117621.5
"7290","Services","No competition","2005","Other DoD",132974231.3
"7291","Services","Competition with single offer","2005","Other DoD",288160773.5
"7292","Services","Competition with single offer","2005","Other DoD",161229798.4
"7293","Services","Effective Competition","2005","Other DoD",135007736
"7294","Services","Effective Competition","2005","Other DoD",135952575.5
"7295","Services","No competition","2005","Other DoD",23949.44
"7296","Services","Unlabeled","2005","Other DoD",16000
"7297","Products","Effective Competition","2005","Other DoD",17384186.39
"7298","Products","Unlabeled","2005","Other DoD",446018.13
"7299","Products","Unlabeled","2005","Other DoD",40063320.84
"7300","R&D","Competition with single offer","2005","Other DoD",144440251
"7301","R&D","Competition with single offer","2005","Other DoD",2240000
"7302","R&D","Effective Competition","2005","Other DoD",68875604.58
"7303","R&D","Effective Competition","2005","Other DoD",87576183
"7304","Services","Effective Competition","2006","Air Force",75663503
"7305","Services","Unlabeled","2006","Air Force",181939
"7306","Services","Competition with single offer","2006","Air Force",264944491.7
"7307","Services","Competition with single offer","2006","Air Force",43995729
"7308","Services","Effective Competition","2006","Air Force",331270707
"7309","Services","Effective Competition","2006","Air Force",944848091.3
"7310","Services","No competition","2006","Air Force",126927
"7311","Services","Effective Competition","2006","Air Force",704931810.1
"7312","Services","Effective Competition","2006","Air Force",107992349.9
"7313","Services","No competition","2006","Air Force",16657684.01
"7314","Services","Effective Competition","2006","Air Force",241056
"7315","Services","Effective Competition","2006","Air Force",2129183
"7316","Services","No competition","2006","Air Force",17042166.22
"7317","Services","Unlabeled","2006","Air Force",4347933
"7318","Services","Competition with single offer","2006","Air Force",571128322
"7319","Services","Effective Competition","2006","Air Force",362456061.9
"7320","Services","Effective Competition","2006","Air Force",-1664
"7321","Services","Unlabeled","2006","Air Force",140856
"7322","Services","Unlabeled","2006","Air Force",1543896231
"7323","R&D","Competition with single offer","2006","Air Force",1017132
"7324","R&D","Effective Competition","2006","Air Force",134463542
"7325","R&D","Unlabeled","2006","Air Force",21502376
"7326","Services","Competition with single offer","2004","Army",3200666
"7327","Services","Effective Competition","2004","Army",209292106.3
"7328","Services","Effective Competition","2004","Army",5156674
"7329","Services","Unlabeled","2004","Army",417475561
"7330","Services","Competition with single offer","2004","Army",973242408.5
"7331","Services","Effective Competition","2004","Army",400240550
"7332","Services","Effective Competition","2004","Army",929083858.1
"7333","Services","No competition","2004","Army",539591675
"7334","Services","No competition","2004","Army",107915
"7335","Services","Effective Competition","2004","Army",276095
"7336","Services","Effective Competition","2004","Army",5990472
"7337","Services","Effective Competition","2004","Army",137195208.3
"7338","Services","No competition","2004","Army",18460327
"7339","Services","No competition","2004","Army",3425510
"7340","Services","Effective Competition","2004","Army",150080492
"7341","Services","Effective Competition","2004","Army",549617179
"7342","Services","Effective Competition","2004","Army",35000
"7343","Services","Effective Competition","2004","Army",2557659
"7344","Services","Effective Competition","2004","Army",34913923.25
"7345","Services","No competition","2004","Army",957559150.8
"7346","Products","Effective Competition","2004","Army",702550865.4
"7347","Products","Effective Competition","2004","Army",25241653.5
"7348","Products","Unlabeled","2004","Army",214040165
"7349","R&D","Competition with single offer","2004","Army",19215322
"7350","R&D","Effective Competition","2004","Army",46052389
"7351","R&D","Effective Competition","2004","Army",314460811
"7352","R&D","Effective Competition","2004","Army",1327000
"7353","R&D","Effective Competition","2004","Army",1043443
"7354","Services","Effective Competition","2004","DLA",18263369
"7355","Services","Unlabeled","2004","DLA",45500
"7356","Services","Effective Competition","2004","DLA",4972192
"7357","Services","No competition","2004","DLA",1299608.44
"7358","Services","Effective Competition","2004","DLA",10624424.23
"7359","Services","Effective Competition","2004","DLA",60228
"7360","Services","Effective Competition","2004","DLA",5709698.2
"7361","Services","Effective Competition","2004","DLA",101991
"7362","Services","Effective Competition","2004","DLA",406029
"7363","Services","No competition","2004","DLA",21234734.6
"7364","Products","Effective Competition","2004","DLA",1690204310
"7365","Products","Effective Competition","2004","DLA",2402693
"7366","Products","Unlabeled","2004","DLA",416578382
"7367","R&D","Effective Competition","2004","DLA",0
"7368","R&D","No competition","2004","DLA",4809600
"7369","Services","Competition with single offer","2004","MDA",7815417.82
"7370","Services","Effective Competition","2004","MDA",5850
"7371","Services","No competition","2004","MDA",136312104
"7372","Services","No competition","2004","MDA",-214471
"7373","Services","Competition with single offer","2004","MDA",57941.15
"7374","Products","Unlabeled","2004","MDA",10253
"7375","R&D","Effective Competition","2004","MDA",1899554
"7376","Services","No competition","2004","MilitaryHealth",16537
"7377","Services","Effective Competition","2004","MilitaryHealth",-53110
"7378","Services","Unlabeled","2004","MDA",-6902
"7379","Services","Effective Competition","2004","MDA",1849037.17
"7380","Services","No competition","2004","MDA",40777003
"7381","Products","Effective Competition","2004","MDA",2514663357
"7382","Products","No competition","2004","MDA",735000
"7383","R&D","Competition with single offer","2004","MDA",60327737
"7384","R&D","No competition","2004","MDA",12896354
"7385","Services","Effective Competition","2004","MilitaryHealth",2729130702
"7386","Services","Unlabeled","2004","MilitaryHealth",495759
"7387","Services","Effective Competition","2004","Navy",977679039.5
"7388","Services","Effective Competition","2004","Navy",5559670
"7389","Services","Unlabeled","2004","Navy",325344
"7390","Services","Effective Competition","2004","Navy",63228284
"7391","Services","Effective Competition","2004","Navy",927209753.7
"7392","Services","Effective Competition","2004","Navy",484845138.9
"7393","Services","Effective Competition","2004","Navy",103576
"7394","Services","Effective Competition","2004","Navy",350534350
"7395","Services","Effective Competition","2004","Navy",46720267
"7396","Services","No competition","2004","Navy",19758317
"7397","Services","Effective Competition","2004","Navy",73155407
"7398","Services","No competition","2004","Navy",70374543
"7399","Services","Effective Competition","2004","Navy",15314998.96
"7400","Services","Effective Competition","2004","Navy",18568930
"7401","Services","Effective Competition","2004","Navy",127591
"7402","Services","Effective Competition","2004","Navy",3145470
"7403","Services","No competition","2004","Navy",16668508
"7404","Services","Effective Competition","2004","Navy",239389
"7405","Services","Effective Competition","2004","Navy",145618113.6
"7406","Services","Effective Competition","2004","Navy",28888308
"7407","Services","Effective Competition","2004","Navy",26585681.36
"7408","Services","No competition","2004","Navy",84135417.92
"7409","Services","Unlabeled","2004","Navy",101882439
"7410","Products","No competition","2004","Navy",9845165
"7411","R&D","Competition with single offer","2004","Navy",1155645503
"7412","R&D","Competition with single offer","2004","Navy",701921
"7413","R&D","Effective Competition","2004","Navy",16054930
"7414","R&D","Effective Competition","2004","Navy",86970456
